# phi1     PHI     phi2
1.753371 1.048179 1.664746
2.251827 2.270610 3.630356
3.294869 1.948987 4.464926
0.441673 1.364467 5.811338
3.170051 0.964573 3.714851
3.880425 1.790742 2.245974
3.793178 2.724691 3.315792
5.436831 1.198125 4.188940
4.908690 1.902928 5.970050
5.212163 0.403794 1.904651
1.067404 1.318119 3.771559
4.710381 0.555800 0.748244
0.827326 1.182391 2.437323
0.443741 2.852372 2.179948
0.316798 1.800587 5.900119
5.501498 0.408563 3.595985
0.860034 3.066193 4.594058
4.824018 2.450023 0.895407
4.150895 1.160541 0.294833
1.889497 1.973349 6.059119
4.283602 2.071422 5.690507
2.213448 2.671159 3.126458
3.148366 2.577207 4.704882
4.129354 1.390434 1.212326
5.408141 0.282438 0.349321
6.048675 0.821741 2.788477
4.647051 2.613124 2.464792
1.685542 2.312161 2.244111
3.394586 1.812071 1.967186
0.758844 1.976813 1.312587
5.567971 0.555776 5.413710
4.626853 1.952824 4.772738
1.166012 2.117441 4.167937
4.295400 2.899127 5.994502
0.137389 0.537913 2.552635
3.986360 2.203271 1.058554
0.017910 1.787216 0.115838
6.040193 2.572634 4.892243
2.680782 0.926826 2.359946
2.236902 0.285179 3.705858
5.543744 2.579104 4.090475
4.167640 0.721513 2.638215
4.798043 1.796929 2.335489
2.786051 0.124236 5.994871
3.625364 0.756369 4.311081
3.743984 2.055651 2.537360
0.838558 1.031126 4.783660
6.112140 1.275254 5.317259
4.165079 0.976995 0.525140
2.334136 1.740796 5.613594
5.915936 0.929292 1.791005
1.715736 0.807501 1.620479
2.525911 1.656421 5.979773
5.238069 2.168200 4.060261
4.685524 1.671319 6.065130
2.580019 1.928839 5.958907
3.266847 2.012874 4.866069
2.782308 1.284918 4.734918
5.870607 1.789648 0.427500
4.454728 1.976553 4.540837
4.831241 1.758826 1.562749
4.350213 1.938184 3.812370
3.410816 2.324739 2.611940
5.616808 1.962055 4.936608
2.330258 2.291266 1.677438
5.854929 0.855446 0.367805
2.109015 0.512936 2.260991
3.857198 1.624785 5.179333
0.517598 0.940265 3.457237
3.562598 0.950495 0.600488
4.302500 2.434304 0.115341
1.595379 2.120981 5.089786
2.310572 1.767831 4.437451
2.250236 0.724982 5.716806
5.472618 1.338521 0.413026
4.746698 1.355041 1.683902
0.045815 2.882139 4.918619
6.005908 0.809640 4.490089
3.331444 2.119544 3.988909
