x,se
79.05727942,-0.146678411
79.05727949,-0.14669192
79.05727957,-0.148461776
79.0572796,-0.146696513
79.05727962,-0.14662967
79.05727963,-0.146670304
79.05728102,-0.146690926
79.05728104,-0.146658842
79.05728111,-0.146698547
79.05728111,-0.146659064
79.05728119,-0.146700371
79.05728122,-0.146688702
79.05945707,-0.144754743
79.05945714,-0.144753476
79.05945716,-0.144773695
79.05945722,-0.144811602
79.05945726,-0.144763484
79.0594574,-0.144759397
79.05945859,-0.144792864
79.05945863,-0.144738034
79.05945871,-0.144747837
79.05945871,-0.14473455
79.05945876,-0.144750204
79.05945881,-0.144781265
80.70240942,-0.118374617
80.70240949,-0.118391748
80.70240955,-0.117773147
80.70241034,-0.118395109
80.70241042,-0.118416737
80.7024105,-0.118408664
80.70241069,-0.118401386
80.70241074,-0.116428048
80.70241075,-0.117772015
80.70241182,-0.118440154
80.70241188,-0.118370041
80.70241201,-0.118386149
80.70663306,-0.21699179
80.70663308,-0.217867978
80.70663312,-0.216963454
80.70663396,-0.217785412
80.70663397,-0.218587814
80.70663421,-0.218611803
80.70663432,-0.216984062
80.70663435,-0.217840288
80.70663448,-0.218616343
80.70663522,-0.218646676
80.70663542,-0.218581362
80.70663544,-0.217774263
82.338332,-0.108223516
82.33833217,-0.104453617
82.33833225,-0.104488661
82.33833252,-0.105629143
82.33833252,-0.104462197
82.33833254,-0.104443114
82.33833386,-0.106275289
82.33833394,-0.107337597
82.33833396,-0.106124925
82.3383344,-0.104501423
82.33833445,-0.104468445
82.33833466,-0.10628884
82.34321807,-0.233440488
82.34321809,-0.233376252
82.34321828,-0.236141754
82.34321858,-0.233525297
82.34321867,-0.236527985
82.34321868,-0.233459254
82.34321978,-0.233499874
82.34321997,-0.233377642
82.34322003,-0.233350581
82.34322021,-0.233339588
82.34322057,-0.234014643
82.3432206,-0.233378575
83.99625059,-0.341662784
83.99625067,-0.341642742
83.99625077,-0.34169152
83.99625113,-0.34163803
83.99625135,-0.341649871
83.99625151,-0.341662247
83.99625302,-0.341657467
83.99625305,-0.341673963
83.99625318,-0.341634337
83.99625372,-0.341657276
83.99625382,-0.341623625
83.99625384,-0.341661556
83.9979633,-0.335574483
83.99796335,-0.336528429
83.99796351,-0.336470434
83.99796397,-0.336447744
83.99796408,-0.336722763
83.99796418,-0.336472228
83.99796559,-0.336497332
83.99796565,-0.336697477
83.99796577,-0.336442951
83.99796652,-0.336483997
83.99796656,-0.336477099
83.99796659,-0.33646543
85.60022384,-0.614360859
85.60022411,-0.614374593
85.60022412,-0.614453291
85.60022534,-0.614379053
85.60022534,-0.61436224
85.6002254,-0.614414606
85.60022618,-0.614372772
85.60022622,-0.614400935
85.60022624,-0.614393288
85.60022754,-0.614395165
85.60022769,-0.614376173
85.60022769,-0.614365267
85.65498368,-0.730400457
85.6549837,-0.730448479
85.65498378,-0.726713769
85.65498429,-0.73047375
85.6549844,-0.73043496
85.65498445,-0.730450896
85.65498568,-0.73028909
85.65498576,-0.72859763
85.65498586,-0.730412955
85.65498629,-0.730436947
85.65498636,-0.72831956
85.65498637,-0.728327307
87.26548303,-0.586569144
87.26548331,-0.586572477
87.26548356,-0.586574326
87.26548372,-0.586601506
87.26548407,-0.586685031
87.26548407,-0.586613141
87.26548554,-0.583697202
87.26548596,-0.586563631
87.26548602,-0.586690565
87.26548659,-0.586595594
87.26548661,-0.586737781
87.26548697,-0.58655901
87.31436564,-0.73911516
87.31436605,-0.739178994
87.31436611,-0.739184931
87.31436613,-0.738846816
87.31436635,-0.738906625
87.31436659,-0.7391432
87.31436871,-0.739122623
87.31436889,-0.737149594
87.31436898,-0.738968644
87.31436922,-0.738877273
87.31436927,-0.739152727
87.31436944,-0.738936835
88.8690293,-1.743726156
88.86902939,-1.743554766
88.86903003,-1.743603051
88.86903041,-1.743809416
88.86903044,-1.743703636
88.86903093,-1.743765814
88.86903419,-1.743639025
88.86903429,-1.743472428
88.86903464,-1.743706509
88.86903491,-1.743676408
88.86903539,-1.743662635
88.86903579,-1.743759284
88.92518868,-2.121007116
88.92518901,-2.120949638
88.92518902,-2.117652707
88.92519001,-2.117701734
88.92519015,-2.117593811
88.92519056,-2.121058342
88.92519351,-2.117647419
88.92519351,-2.117640692
88.92519384,-2.121004347
88.92519423,-2.123613146
88.92519502,-2.120965222
88.92519513,-2.123040589
90.65469505,-1.511498678
90.65469549,-1.511477837
90.65469553,-1.511478887
90.65469561,-1.511437673
90.65469566,-1.511445816
90.65469575,-1.511505261
90.65469604,-1.511417336
90.65469612,-1.511416718
90.65469624,-1.511460122
90.65469634,-1.511435048
90.65469645,-1.511466104
90.65469646,-1.511467591
90.80274296,-1.510675345
90.80274297,-1.510646342
90.80274306,-1.511044375
90.80274309,-1.511019626
90.80274325,-1.511038223
90.8027433,-1.510911975
90.80274338,-1.510684176
90.80274353,-1.512031663
90.80274359,-1.511070639
90.80274373,-1.511086333
90.80274395,-1.511072092
90.80274402,-1.510700245
92.53027253,-2.123697183
92.53027291,-2.122287724
92.53027299,-2.123650944
92.5302736,-2.123660224
92.53027395,-2.122461212
92.53027424,-2.123721788
92.53027753,-2.12369153
92.53027755,-2.123704558
92.53027798,-2.12248198
92.5302783,-2.123690106
92.5302786,-2.123730517
92.53027883,-2.123681989
92.5887428,-1.740906096
92.58874302,-1.740876921
92.58874322,-1.742340569
92.58874343,-1.740904135
92.58874389,-1.742015759
92.58874398,-1.740886625
92.58874728,-1.740907607
92.58874796,-1.742131327
92.58874796,-1.741000944
92.58874848,-1.740948671
92.58874866,-1.741799512
92.58874893,-1.741998695
94.14174402,-0.739584891
94.14174406,-0.737581496
94.14174406,-0.737389325
94.1417443,-0.737435529
94.14174431,-0.737427494
94.14174435,-0.737450037
94.14174687,-0.73750193
94.14174688,-0.737382492
94.14174711,-0.7374199
94.14174723,-0.739653364
94.14174726,-0.737447552
94.14174741,-0.739779049
94.19150015,-0.587845826
94.19150026,-0.587750781
94.19150055,-0.587739513
94.19150088,-0.587859013
94.19150093,-0.587572734
94.191501,-0.587828026
94.19150311,-0.587514825
94.19150332,-0.587621362
94.19150354,-0.587585837
94.19150369,-0.587956601
94.19150379,-0.587618714
94.19150404,-0.587779644
95.80158161,-0.730945977
95.80158165,-0.731027714
95.80158185,-0.731130658
95.8015824,-0.731108694
95.8015824,-0.731083503
95.80158253,-0.730985054
95.80158377,-0.731086639
95.80158386,-0.730995453
95.80158388,-0.731040806
95.80158457,-0.730900974
95.80158461,-0.73106629
95.80158473,-0.731093865
95.85634501,-0.616772268
95.85634503,-0.616682857
95.85634507,-0.616753767
95.85634663,-0.616729085
95.85634667,-0.616680943
95.8563467,-0.616750792
95.85634735,-0.616450315
95.85634738,-0.616757441
95.85634738,-0.616739868
95.85634883,-0.616724613
95.85634888,-0.616703552
95.85634894,-0.616591954
97.45855136,-0.339248059
97.45855137,-0.339144688
97.45855149,-0.339336439
97.45855223,-0.339278292
97.45855231,-0.3392052
97.45855237,-0.339326916
97.45855398,-0.339289185
97.45855402,-0.339302935
97.45855402,-0.339298529
97.45855477,-0.339123925
97.45855484,-0.339266538
97.45855497,-0.339273318
97.46028994,-0.344375042
97.46028998,-0.344444878
97.46029007,-0.344225551
97.46029065,-0.344464598
97.46029066,-0.344409199
97.46029079,-0.34432701
97.46029259,-0.344231613
97.46029261,-0.344451871
97.46029276,-0.344446228
97.46029327,-0.344377524
97.46029346,-0.34442212
97.46029346,-0.344394611
99.11325159,-0.235146681
99.11325161,-0.23513186
99.11325175,-0.235121361
99.11325217,-0.235149999
99.11325231,-0.235113215
99.11325235,-0.235093052
99.11325377,-0.235100828
99.11325384,-0.23505646
99.11325385,-0.235106833
99.11325425,-0.235132813
99.11325426,-0.235147484
99.11325438,-0.235079883
99.11803957,-0.107348756
99.1180396,-0.107327795
99.11803965,-0.107296721
99.11803993,-0.107307915
99.11804,-0.10732243
99.11804022,-0.107310051
99.11804158,-0.107304705
99.11804159,-0.107297583
99.11804173,-0.10731343
99.11804209,-0.107277459
99.11804218,-0.107313063
99.11804222,-0.107321401
100.7497407,-0.221253145
100.7497408,-0.220907115
100.7497409,-0.220331693
100.7497418,-0.221066513
100.7497418,-0.220249634
100.7497418,-0.220216246
100.7497419,-0.220270056
100.749742,-0.220276548
100.7497421,-0.221056849
100.7497431,-0.221083162
100.7497432,-0.220275493
100.7497433,-0.220905969
100.7539528,-0.119935261
100.7539529,-0.11851094
100.7539532,-0.120650874
100.7539541,-0.119931993
100.7539542,-0.120058912
100.7539542,-0.120054698
100.7539542,-0.118486287
100.7539542,-0.118477286
100.7539543,-0.118483738
100.7539555,-0.120031402
100.7539555,-0.11845269
100.7539557,-0.120068107
102.3968609,-0.147698457
102.3968609,-0.147688488
102.396861,-0.147664666
102.3968613,-0.14772348
102.3968614,-0.147654435
102.3968616,-0.147699794
102.3968624,-0.147644751
102.3968625,-0.147732468
102.3968625,-0.147687512
102.3968629,-0.147749867
102.3968629,-0.147693085
102.3968629,-0.147654851
102.3990214,-0.149649978
102.3990215,-0.149585106
102.3990216,-0.149623048
102.3990218,-0.149605721
102.399022,-0.149661562
102.3990221,-0.149723036
102.3990229,-0.149614518
102.399023,-0.149680094
102.3990231,-0.149642372
102.3990234,-0.149642001
102.3990235,-0.149631754
102.3990236,-0.14959052
